Pelicula;F.Alquiler;F.Devolucion;Cliente;Empleado
ALAMO VIDEOTAPE;29/07/2005 12:48:54;04/08/2005 7:19:54;LILLIE KIM;Jon Stephens
FLYING HOOK;29/07/2005 13:01:19;31/07/2005 15:40:19;MAUREEN LITTLE;Jon Stephens
SWEDEN SHINING;29/07/2005 13:04:27;03/08/2005 12:21:27;JUDITH COX;Jon Stephens
SWARM GOLD;29/07/2005 13:19:25;06/08/2005 8:33:25;JUSTIN NGO;Jon Stephens
TWISTED PIRATES;29/07/2005 13:25:02;03/08/2005 8:10:02;KEN PREWITT;Jon Stephens
WIFE TURN;29/07/2005 13:36:01;03/08/2005 13:15:01;HELEN HARRIS;Mike Hillyer
MEET CHOCOLATE;29/07/2005 13:39:09;01/08/2005 16:49:09;BRENT HARKINS;Mike Hillyer
BROTHERHOOD BLANKET;29/07/2005 13:55:11;05/08/2005 11:16:11;APRIL BURNS;Mike Hillyer
CROW GREASE;29/07/2005 13:59:13;07/08/2005 17:56:13;CURTIS IRBY;Jon Stephens
PINOCCHIO SIMON;29/07/2005 14:03:20;02/08/2005 9:05:20;ELEANOR HUNT;Mike Hillyer
WITCHES PANIC;29/07/2005 14:06:24;06/08/2005 10:42:24;GUY BROWNLEE;Jon Stephens
CRANES RESERVOIR;29/07/2005 14:06:35;03/08/2005 16:59:35;ALFREDO MCADAMS;Jon Stephens
HUNGER ROOF;29/07/2005 14:19:57;07/08/2005 13:44:57;GREGORY MAULDIN;Mike Hillyer
BOILED DARES;29/07/2005 14:45:23;04/08/2005 18:42:23;CHERYL MURPHY;Mike Hillyer
CONEHEADS SMOOCHY;29/07/2005 14:57:33;07/08/2005 9:43:33;JUDY GRAY;Jon Stephens
WESTWARD SEABISCUIT;29/07/2005 15:04:23;02/08/2005 9:39:23;JOY GEORGE;Jon Stephens
PULP BEVERLY;29/07/2005 15:09:25;31/07/2005 19:10:25;MARCIA DEAN;Mike Hillyer
ENEMY ODDS;29/07/2005 15:33:18;30/07/2005 18:03:18;KRISTIN JOHNSTON;Mike Hillyer
SLACKER LIAISONS;29/07/2005 15:39:38;06/08/2005 17:12:38;KENT ARSENAULT;Mike Hillyer
LEAGUE HELLFIGHTERS;29/07/2005 15:49:03;01/08/2005 20:19:03;THEODORE CULP;Jon Stephens
EDGE KISSING;29/07/2005 16:08:03;31/07/2005 17:26:03;SCOTT SHELLEY;Mike Hillyer
HANKY OCTOBER;29/07/2005 16:17:05;07/08/2005 17:44:05;KEVIN SCHULER;Mike Hillyer
BAKED CLEOPATRA;29/07/2005 16:19:17;01/08/2005 15:28:17;EDITH MCDONALD;Mike Hillyer
CONSPIRACY SPIRIT;29/07/2005 16:38:58;01/08/2005 17:09:58;HECTOR POINDEXTER;Jon Stephens
DALMATIONS SWEDEN;29/07/2005 16:44:13;01/08/2005 15:56:13;ALICE STEWART;Mike Hillyer
CALENDAR GUNFIGHT;29/07/2005 16:44:48;06/08/2005 16:28:48;CARL ARTIS;Mike Hillyer
PACKER MADIGAN;29/07/2005 16:52:17;04/08/2005 13:20:17;GARY COY;Jon Stephens
APACHE DIVINE;29/07/2005 17:48:32;04/08/2005 14:30:32;STACY CUNNINGHAM;Jon Stephens
LOLA AGENT;29/07/2005 17:56:21;02/08/2005 21:30:21;MARK RINEHART;Jon Stephens
BAKED CLEOPATRA;29/07/2005 18:03:47;06/08/2005 18:53:47;DEBRA NELSON;Mike Hillyer
TROJAN TOMORROW;29/07/2005 18:23:34;01/08/2005 19:56:34;TERRANCE ROUSH;Mike Hillyer
MINDS TRUMAN;29/07/2005 18:23:57;05/08/2005 19:38:57;DANA HART;Mike Hillyer
PRIVATE DROP;29/07/2005 18:26:34;03/08/2005 15:06:34;JAY ROBB;Mike Hillyer
GRAPES FURY;29/07/2005 18:31:15;30/07/2005 16:24:15;DARRYL ASHCRAFT;Jon Stephens
STORY SIDE;29/07/2005 18:32:47;02/08/2005 13:05:47;ELLA OLIVER;Jon Stephens
ARACHNOPHOBIA ROLLERCOASTER;29/07/2005 18:44:57;03/08/2005 18:25:57;BARBARA JONES;Jon Stephens
DALMATIONS SWEDEN;29/07/2005 18:56:12;03/08/2005 16:42:12;LUCY WHEELER;Mike Hillyer
MOB DUFFEL;29/07/2005 18:57:01;31/07/2005 22:09:01;JENNY CASTRO;Jon Stephens
SAMURAI LION;29/07/2005 19:14:39;31/07/2005 23:11:39;TODD TAN;Mike Hillyer
TROUBLE DATE;29/07/2005 19:15:07;31/07/2005 13:27:07;TERRY CARLSON;Mike Hillyer
GOLDFINGER SENSIBILITY;29/07/2005 19:18:30;05/08/2005 18:39:30;YVONNE WATKINS;Jon Stephens
FOREVER CANDIDATE;29/07/2005 19:18:31;31/07/2005 19:20:31;STEVE MACKENZIE;Jon Stephens
SANTA PARIS;29/07/2005 19:19:10;02/08/2005 13:47:10;WARREN SHERROD;Jon Stephens
CORE SUIT;29/07/2005 19:22:37;07/08/2005 15:36:37;TONYA CHAPMAN;Jon Stephens
EVOLUTION ALTER;29/07/2005 19:26:47;08/08/2005 0:09:47;MATHEW BOLIN;Mike Hillyer
DAUGHTER MADIGAN;29/07/2005 19:42:33;01/08/2005 20:52:33;ALVIN DELOACH;Jon Stephens
SEA VIRGIN;29/07/2005 19:55:25;05/08/2005 18:48:25;THELMA MURRAY;Mike Hillyer
ANNIE IDENTITY;29/07/2005 19:55:34;30/07/2005 14:11:34;TERRANCE ROUSH;Mike Hillyer
FALCON VOLUME;29/07/2005 20:05:38;30/07/2005 21:13:38;MARIE TURNER;Mike Hillyer
LOVERBOY ATTACKS;29/07/2005 20:10:21;30/07/2005 20:32:21;VICTOR BARKLEY;Jon Stephens
LOATHING LEGALLY;29/07/2005 20:39:49;03/08/2005 18:08:49;JESSIE MILAM;Mike Hillyer
PERSONAL LADYBUGS;29/07/2005 20:47:27;05/08/2005 18:36:27;KATHY JAMES;Mike Hillyer
COAST RAINBOW;29/07/2005 20:51:41;30/07/2005 17:30:41;MATTHEW MAHAN;Jon Stephens
HANDICAP BOONDOCK;29/07/2005 20:57:22;02/08/2005 1:40:22;SALLY PIERCE;Jon Stephens
OSCAR GOLD;29/07/2005 21:10:37;07/08/2005 21:43:37;CASEY MENA;Mike Hillyer
CONFIDENTIAL INTERVIEW;29/07/2005 21:15:38;05/08/2005 2:46:38;DUANE TUBBS;Jon Stephens
NECKLACE OUTBREAK;29/07/2005 21:26:24;06/08/2005 18:05:24;JACQUELINE LONG;Jon Stephens
TELEMARK HEARTBREAKERS;29/07/2005 21:29:58;04/08/2005 23:12:58;DEBRA NELSON;Mike Hillyer
MICROCOSMOS PARADISE;29/07/2005 21:36:59;01/08/2005 17:40:59;EARL SHANKS;Mike Hillyer
DUDE BLINDNESS;29/07/2005 21:47:40;04/08/2005 1:18:40;KEN PREWITT;Jon Stephens
MOONSHINE CABIN;29/07/2005 22:09:08;01/08/2005 19:07:08;ANNETTE OLSON;Mike Hillyer
CLUELESS BUCKET;29/07/2005 22:20:21;06/08/2005 3:00:21;VIRGINIA GREEN;Jon Stephens
SCALAWAG DUCK;29/07/2005 22:22:58;31/07/2005 21:02:58;JOANN GARDNER;Jon Stephens
GREEK EVERYONE;29/07/2005 22:34:35;05/08/2005 20:12:35;CARLA GUTIERREZ;Jon Stephens
BOILED DARES;29/07/2005 22:37:49;04/08/2005 23:32:49;ETHEL WEBB;Mike Hillyer
MINORITY KISS;29/07/2005 22:44:35;05/08/2005 23:28:35;TANYA GILBERT;Mike Hillyer
SUBMARINE BED;29/07/2005 22:56:07;01/08/2005 21:21:07;ROY WHITING;Jon Stephens
TROUBLE DATE;29/07/2005 23:03:40;06/08/2005 23:23:40;MISTY LAMBERT;Jon Stephens
PAYCHECK WAIT;29/07/2005 23:06:13;02/08/2005 20:16:13;LANCE PEMBERTON;Mike Hillyer
TOURIST PELICAN;29/07/2005 23:13:41;31/07/2005 23:55:41;COREY HAUSER;Mike Hillyer
PACKER MADIGAN;29/07/2005 23:20:58;03/08/2005 17:28:58;JULIO NOLAND;Jon Stephens
VARSITY TRIP;29/07/2005 23:21:01;03/08/2005 20:01:01;RACHEL BARNES;Mike Hillyer
BLACKOUT PRIVATE;29/07/2005 23:24:20;31/07/2005 0:43:20;JACQUELINE LONG;Jon Stephens
NEWTON LABYRINTH;29/07/2005 23:45:57;06/08/2005 2:14:57;JAMIE WAUGH;Jon Stephens
COLOR PHILADELPHIA;29/07/2005 23:47:29;07/08/2005 1:27:29;JORDAN ARCHULETA;Mike Hillyer
DALMATIONS SWEDEN;29/07/2005 23:49:23;04/08/2005 20:11:23;MICHELLE CLARK;Mike Hillyer
FARGO GANDHI;30/07/2005 0:02:18;04/08/2005 0:44:18;GILBERT SLEDGE;Jon Stephens
OUTLAW HANKY;30/07/2005 0:16:02;06/08/2005 20:10:02;SALVADOR TEEL;Jon Stephens
HUMAN GRAFFITI;30/07/2005 0:22:31;04/08/2005 19:10:31;KIM CRUZ;Mike Hillyer
BRIDE INTRIGUE;30/07/2005 0:24:05;03/08/2005 19:48:05;CURTIS IRBY;Jon Stephens
PELICAN COMFORTS;30/07/2005 0:26:22;05/08/2005 3:24:22;MARILYN ROSS;Mike Hillyer
TIMBERLAND SKY;30/07/2005 0:46:55;06/08/2005 23:32:55;RICKY SHELBY;Jon Stephens
WOMEN DORADO;30/07/2005 1:26:05;31/07/2005 20:39:05;CLARENCE GAMEZ;Mike Hillyer
INTRIGUE WORST;30/07/2005 1:30:57;02/08/2005 20:01:57;MICHEAL FORMAN;Mike Hillyer
GOLDMINE TYCOON;30/07/2005 1:31:25;02/08/2005 7:14:25;TRACEY BARRETT;Jon Stephens
BREAKFAST GOLDFINGER;30/07/2005 1:35:01;06/08/2005 6:13:01;CLARENCE GAMEZ;Mike Hillyer
MANNEQUIN WORST;30/07/2005 1:56:22;04/08/2005 1:58:22;KYLE SPURLOCK;Jon Stephens
GOODFELLAS SALUTE;30/07/2005 2:08:25;08/08/2005 7:19:25;THEODORE CULP;Jon Stephens
BEAUTY GREASE;30/07/2005 2:13:31;01/08/2005 1:34:31;HELEN HARRIS;Mike Hillyer
SCALAWAG DUCK;30/07/2005 2:28:22;06/08/2005 6:13:22;GREG ROBINS;Mike Hillyer
DOUBLE WRATH;30/07/2005 2:28:38;02/08/2005 1:43:38;CARLA GUTIERREZ;Jon Stephens
BEETHOVEN EXORCIST;30/07/2005 2:38:45;02/08/2005 7:11:45;IRENE PRICE;Jon Stephens
LOATHING LEGALLY;30/07/2005 2:53:21;08/08/2005 3:33:21;CODY NOLEN;Jon Stephens
TEEN APOLLO;30/07/2005 2:56:08;31/07/2005 23:08:08;TINA SIMMONS;Jon Stephens
TRAP GUYS;30/07/2005 2:56:53;01/08/2005 21:19:53;WADE DELVALLE;Mike Hillyer
SLIPPER FIDELITY;30/07/2005 3:06:48;02/08/2005 0:59:48;JAMIE WAUGH;Jon Stephens
BIRD INDEPENDENCE;30/07/2005 3:15:37;04/08/2005 7:10:37;KIMBERLY LEE;Jon Stephens
DARLING BREAKING;30/07/2005 3:16:18;04/08/2005 3:16:18;FREDDIE DUGGAN;Mike Hillyer
NOVOCAINE FLIGHT;30/07/2005 3:17:02;08/08/2005 7:38:02;GEORGIA JACOBS;Mike Hillyer
DEER VIRGINIAN;30/07/2005 3:25:51;06/08/2005 5:10:51;RHONDA KENNEDY;Jon Stephens
BOOGIE AMELIE;30/07/2005 3:36:31;01/08/2005 23:46:31;ADRIAN CLARY;Jon Stephens
SLEEPLESS MONSOON;30/07/2005 3:43:35;06/08/2005 7:42:35;STACEY MONTGOMERY;Mike Hillyer
LOLA AGENT;30/07/2005 3:52:37;05/08/2005 1:28:37;AUSTIN CINTRON;Jon Stephens
OTHERS SOUP;30/07/2005 4:02:05;07/08/2005 3:40:05;DONALD MAHON;Jon Stephens
REMEMBER DIARY;30/07/2005 4:10:18;07/08/2005 1:06:18;GERALD FULTZ;Jon Stephens
TITANIC BOONDOCK;30/07/2005 4:14:07;05/08/2005 23:45:07;RAYMOND MCWHORTER;Jon Stephens
FATAL HAUNTED;30/07/2005 4:20:25;08/08/2005 3:39:25;ERIK GUILLEN;Jon Stephens
WITCHES PANIC;30/07/2005 4:44:18;01/08/2005 0:29:18;TERESA ROGERS;Mike Hillyer
GABLES METROPOLIS;30/07/2005 4:54:14;08/08/2005 8:18:14;SYLVIA ORTIZ;Jon Stephens
SAINTS BRIDE;30/07/2005 4:55:46;01/08/2005 0:16:46;KYLE SPURLOCK;Jon Stephens
VELVET TERMINATOR;30/07/2005 5:26:13;04/08/2005 0:25:13;MARK RINEHART;Jon Stephens
RIGHT CRANES;30/07/2005 5:26:20;04/08/2005 10:00:20;RONALD WEINER;Jon Stephens
CHOCOLAT HARRY;30/07/2005 5:34:24;03/08/2005 4:13:24;GENE SANBORN;Mike Hillyer
ARACHNOPHOBIA ROLLERCOASTER;30/07/2005 5:44:42;05/08/2005 3:15:42;FRANK WAGGONER;Jon Stephens
MONEY HAROLD;30/07/2005 6:00:35;02/08/2005 1:35:35;SHERRY MARSHALL;Mike Hillyer
JERK PAYCHECK;30/07/2005 6:05:38;03/08/2005 0:19:38;ADAM GOOCH;Mike Hillyer
SPINAL ROCKY;30/07/2005 6:16:07;06/08/2005 9:22:07;LYDIA BURKE;Mike Hillyer
STRICTLY SCARFACE;30/07/2005 6:57:07;05/08/2005 0:57:07;ROBIN HAYES;Mike Hillyer
ROBBERY BRIGHT;30/07/2005 7:06:08;03/08/2005 10:30:08;MANUEL MURRELL;Mike Hillyer
NOON PAPI;30/07/2005 7:11:44;08/08/2005 1:55:44;TONYA CHAPMAN;Jon Stephens
CHARIOTS CONSPIRACY;30/07/2005 7:13:07;01/08/2005 12:18:07;CECIL VINES;Mike Hillyer
VOYAGE LEGALLY;30/07/2005 7:20:36;03/08/2005 10:51:36;WANDA PATTERSON;Mike Hillyer
SHOW LORD;30/07/2005 7:31:01;04/08/2005 11:44:01;VICTOR BARKLEY;Jon Stephens
HARRY IDAHO;30/07/2005 7:39:59;02/08/2005 4:10:59;MYRTLE FLEMING;Mike Hillyer
RANDOM GO;30/07/2005 7:50:10;01/08/2005 11:21:10;SARA PERRY;Jon Stephens
CABIN FLASH;30/07/2005 7:58:12;08/08/2005 6:04:12;CLIFFORD BOWENS;Mike Hillyer
VIETNAM SMOOCHY;30/07/2005 8:00:19;08/08/2005 11:21:19;DEAN SAUER;Mike Hillyer
DATE SPEED;30/07/2005 8:01:00;31/07/2005 10:39:00;JOHN FARNSWORTH;Mike Hillyer
INSTINCT AIRPORT;30/07/2005 8:02:00;31/07/2005 4:02:00;KATIE ELLIOTT;Jon Stephens
AMADEUS HOLY;30/07/2005 8:02:39;06/08/2005 12:02:39;BRANDY GRAVES;Mike Hillyer
PEACH INNOCENT;30/07/2005 8:09:58;03/08/2005 13:27:58;SIDNEY BURLESON;Mike Hillyer
SUIT WALLS;30/07/2005 8:14:29;03/08/2005 11:12:29;DOLORES WAGNER;Jon Stephens
ROSES TREASURE;30/07/2005 8:17:24;03/08/2005 9:35:24;ANNA HILL;Jon Stephens
ROXANNE REBEL;30/07/2005 8:21:02;01/08/2005 9:55:02;COURTNEY DAY;Mike Hillyer
JAWS HARRY;30/07/2005 8:33:24;04/08/2005 11:07:24;DIANA ALEXANDER;Mike Hillyer
PATIENT SISTER;30/07/2005 8:38:36;31/07/2005 6:14:36;CHESTER BENNER;Mike Hillyer
CANYON STOCK;30/07/2005 8:39:23;01/08/2005 3:33:23;NATALIE MEYER;Mike Hillyer
ENCINO ELF;30/07/2005 8:44:21;08/08/2005 12:31:21;CLARA SHAW;Mike Hillyer
PRESIDENT BANG;30/07/2005 8:47:13;02/08/2005 12:52:13;CASEY MENA;Mike Hillyer
DRIVING POLISH;30/07/2005 8:48:20;04/08/2005 10:19:20;BRANDY GRAVES;Mike Hillyer
SUPER WYOMING;30/07/2005 8:56:36;04/08/2005 11:07:36;SAM MCDUFFIE;Mike Hillyer
CUPBOARD SINNERS;30/07/2005 9:13:21;05/08/2005 6:00:21;CAROL GARCIA;Jon Stephens
BEAUTY GREASE;30/07/2005 9:25:56;03/08/2005 3:36:56;RICHARD MCCRARY;Mike Hillyer
WOLVES DESIRE;30/07/2005 9:44:15;02/08/2005 11:02:15;SETH HANNON;Jon Stephens
TOMORROW HUSTLER;30/07/2005 9:46:36;31/07/2005 7:43:36;JOHN FARNSWORTH;Mike Hillyer
GREASE YOUTH;30/07/2005 10:07:20;31/07/2005 8:20:20;EVELYN MORGAN;Jon Stephens
PICKUP DRIVING;30/07/2005 10:16:04;05/08/2005 8:01:04;ROBERTO VU;Mike Hillyer
WIND PHANTOM;30/07/2005 10:21:03;04/08/2005 15:14:03;GLEN TALBERT;Mike Hillyer
MILE MULAN;30/07/2005 10:45:12;01/08/2005 9:40:12;MICHELLE CLARK;Mike Hillyer
SUN CONFESSIONS;30/07/2005 10:50:53;07/08/2005 8:19:53;CRYSTAL FORD;Mike Hillyer
ARMY FLINTSTONES;30/07/2005 11:17:33;06/08/2005 15:16:33;REBECCA SCOTT;Jon Stephens
DAY UNFAITHFUL;30/07/2005 11:19:18;02/08/2005 5:32:18;DON BONE;Mike Hillyer
TROOPERS METAL;30/07/2005 11:21:56;02/08/2005 15:32:56;VIVIAN RUIZ;Mike Hillyer
WESTWARD SEABISCUIT;30/07/2005 11:24:14;08/08/2005 16:24:14;HAROLD MARTINO;Mike Hillyer
TELEGRAPH VOYAGE;30/07/2005 11:24:28;03/08/2005 9:38:28;TONI HOLT;Mike Hillyer
HURRICANE AFFAIR;30/07/2005 11:31:17;08/08/2005 16:56:17;TAMMY SANDERS;Jon Stephens
INCH JET;30/07/2005 11:40:10;04/08/2005 5:40:10;BOBBY BOUDREAU;Jon Stephens
BLADE POLISH;30/07/2005 11:47:48;02/08/2005 8:13:48;PAULINE HENRY;Mike Hillyer
SATISFACTION CONFIDENTIAL;30/07/2005 12:03:15;01/08/2005 14:25:15;LEROY BUSTAMANTE;Mike Hillyer
ALADDIN CALENDAR;30/07/2005 12:10:19;01/08/2005 7:35:19;BRUCE SCHWARZ;Jon Stephens
JUMANJI BLADE;30/07/2005 12:10:40;06/08/2005 7:01:40;BRADLEY MOTLEY;Mike Hillyer
WEDDING APOLLO;30/07/2005 12:24:17;03/08/2005 7:41:17;SAMANTHA DUNCAN;Jon Stephens
SAMURAI LION;30/07/2005 12:28:42;02/08/2005 12:17:42;JUDY GRAY;Jon Stephens
DARKNESS WAR;30/07/2005 12:29:43;04/08/2005 12:35:43;BERNARD COLBY;Mike Hillyer
VANISHING ROCKY;30/07/2005 12:30:19;31/07/2005 18:01:19;VICKIE BREWER;Jon Stephens
VIRGINIAN PLUTO;30/07/2005 12:38:00;01/08/2005 7:09:00;ROSS GREY;Mike Hillyer
REEF SALUTE;30/07/2005 12:39:52;08/08/2005 9:43:52;RHONDA KENNEDY;Jon Stephens
SHAWSHANK BUBBLE;30/07/2005 13:11:11;06/08/2005 13:06:11;MARJORIE TUCKER;Mike Hillyer
LOVERBOY ATTACKS;30/07/2005 13:17:27;07/08/2005 11:34:27;DAVE GARDINER;Jon Stephens
SIERRA DIVIDE;30/07/2005 13:21:08;08/08/2005 10:42:08;PAULA BRYANT;Jon Stephens
VICTORY ACADEMY;30/07/2005 13:31:20;06/08/2005 16:42:20;LINDA WILLIAMS;Mike Hillyer
GLORY TRACY;30/07/2005 13:45:54;02/08/2005 15:33:54;MARJORIE TUCKER;Mike Hillyer
MUSCLE BRIGHT;30/07/2005 13:48:17;31/07/2005 13:57:17;DARLENE ROSE;Jon Stephens
CAT CONEHEADS;30/07/2005 13:57:54;03/08/2005 12:23:54;TINA SIMMONS;Jon Stephens
MICROCOSMOS PARADISE;30/07/2005 14:30:38;04/08/2005 17:57:38;LEO EBERT;Mike Hillyer
BLOOD ARGONAUTS;30/07/2005 14:39:35;08/08/2005 11:26:35;RUSSELL BRINSON;Mike Hillyer
ALIEN CENTER;30/07/2005 14:48:24;04/08/2005 19:06:24;CURTIS IRBY;Jon Stephens
SLUMS DUCK;30/07/2005 14:55:25;02/08/2005 11:34:25;JORDAN ARCHULETA;Mike Hillyer
HIGHBALL POTTER;30/07/2005 15:09:15;31/07/2005 10:23:15;ALEXANDER FENNELL;Jon Stephens
PICKUP DRIVING;30/07/2005 15:15:51;05/08/2005 12:58:51;ANTONIO MEEK;Mike Hillyer
HAUNTED ANTITRUST;30/07/2005 15:25:19;01/08/2005 15:35:19;RALPH MADRIGAL;Jon Stephens
LUST LOCK;30/07/2005 15:32:28;31/07/2005 20:42:28;MICHELE GRANT;Jon Stephens
BOOGIE AMELIE;30/07/2005 15:57:04;07/08/2005 18:46:04;CALVIN MARTEL;Mike Hillyer
GORGEOUS BINGO;30/07/2005 16:08:21;07/08/2005 10:38:21;LISA ANDERSON;Jon Stephens
LUCKY FLYING;30/07/2005 16:14:37;07/08/2005 18:49:37;DON BONE;Mike Hillyer
CABIN FLASH;30/07/2005 16:18:39;03/08/2005 12:46:39;CRYSTAL FORD;Mike Hillyer
TIMBERLAND SKY;30/07/2005 16:21:13;08/08/2005 11:57:13;PATRICIA JOHNSON;Mike Hillyer
SCALAWAG DUCK;30/07/2005 16:26:29;03/08/2005 13:51:29;JEANETTE GREENE;Mike Hillyer
DOGMA FAMILY;30/07/2005 16:34:29;31/07/2005 18:41:29;YVONNE WATKINS;Jon Stephens
LABYRINTH LEAGUE;30/07/2005 16:34:57;31/07/2005 11:08:57;DORIS REED;Jon Stephens
SUPERFLY TRIP;30/07/2005 16:47:17;02/08/2005 22:15:17;JOSHUA MARK;Mike Hillyer
SHOOTIST SUPERFLY;30/07/2005 16:55:53;07/08/2005 11:23:53;MELISSA KING;Mike Hillyer
MADISON TRAP;30/07/2005 16:59:17;03/08/2005 17:24:17;IRENE PRICE;Jon Stephens
BRIGHT ENCOUNTERS;30/07/2005 17:05:29;01/08/2005 12:47:29;DIANA ALEXANDER;Mike Hillyer
WATERFRONT DELIVERANCE;30/07/2005 17:11:58;05/08/2005 14:36:58;BRANDON HUEY;Mike Hillyer
LONELY ELEPHANT;30/07/2005 17:14:30;06/08/2005 16:53:30;GEORGE LINTON;Mike Hillyer
SECRETARY ROUGE;30/07/2005 17:19:44;06/08/2005 22:42:44;ROSA REYNOLDS;Jon Stephens
EFFECT GLADIATOR;30/07/2005 17:28:52;06/08/2005 19:02:52;STEPHEN QUALLS;Mike Hillyer
BIRDS PERDITION;30/07/2005 17:31:03;08/08/2005 19:16:03;LOUIS LEONE;Mike Hillyer
JET NEIGHBORS;30/07/2005 17:46:50;01/08/2005 19:03:50;NAOMI JENNINGS;Mike Hillyer
DRIVING POLISH;30/07/2005 17:53:39;02/08/2005 12:25:39;COREY HAUSER;Mike Hillyer
FANTASIA PARK;30/07/2005 17:53:45;31/07/2005 22:35:45;RANDALL NEUMANN;Jon Stephens
HIGHBALL POTTER;30/07/2005 18:01:15;05/08/2005 23:10:15;FELIX GAFFNEY;Mike Hillyer
LEBOWSKI SOLDIERS;30/07/2005 18:02:25;31/07/2005 12:30:25;RUBY WASHINGTON;Jon Stephens
NIGHTMARE CHILL;30/07/2005 18:13:52;03/08/2005 17:58:52;ALMA AUSTIN;Mike Hillyer
STREETCAR INTENTIONS;30/07/2005 18:37:00;08/08/2005 19:57:00;ANA BRADLEY;Jon Stephens
INFORMER DOUBLE;30/07/2005 18:39:43;04/08/2005 22:41:43;HOLLY FOX;Jon Stephens
TRAINSPOTTING STRANGERS;30/07/2005 18:43:49;06/08/2005 21:24:49;GREGORY MAULDIN;Mike Hillyer
PATRIOT ROMAN;30/07/2005 18:50:53;05/08/2005 17:56:53;CRAIG MORRELL;Jon Stephens
SASSY PACKER;30/07/2005 19:05:36;05/08/2005 16:16:36;STACY CUNNINGHAM;Jon Stephens
TRAINSPOTTING STRANGERS;30/07/2005 19:12:18;05/08/2005 19:38:18;LEE HAWKS;Mike Hillyer
WASTELAND DIVINE;30/07/2005 19:17:31;01/08/2005 20:46:31;GWENDOLYN MAY;Mike Hillyer
NATIONAL STORY;30/07/2005 19:24:50;01/08/2005 21:41:50;JEFFERY PINSON;Jon Stephens
CASUALTIES ENCINO;30/07/2005 19:27:05;07/08/2005 21:19:05;CHARLIE BESS;Jon Stephens
GUYS FALCON;30/07/2005 19:42:07;01/08/2005 23:17:07;GLADYS HAMILTON;Mike Hillyer
NAME DETECTIVE;30/07/2005 19:50:13;03/08/2005 22:38:13;ANGELA HERNANDEZ;Jon Stephens
ARACHNOPHOBIA ROLLERCOASTER;30/07/2005 20:06:24;06/08/2005 22:36:24;ROSEMARY SCHMIDT;Mike Hillyer
FRONTIER CABIN;30/07/2005 20:07:29;05/08/2005 0:36:29;LOUIS LEONE;Mike Hillyer
STRANGER STRANGERS;30/07/2005 20:15:58;03/08/2005 21:21:58;HARRY ARCE;Mike Hillyer
ICE CROSSING;30/07/2005 20:18:19;07/08/2005 15:46:19;ERIC ROBERT;Mike Hillyer
SAMURAI LION;30/07/2005 20:18:53;06/08/2005 19:54:53;MARGIE WADE;Mike Hillyer
RULES HUMAN;30/07/2005 20:24:00;07/08/2005 19:50:00;CALVIN MARTEL;Mike Hillyer
WAR NOTTING;30/07/2005 20:32:09;04/08/2005 20:14:09;JOHNNIE CHISHOLM;Jon Stephens
MADISON TRAP;30/07/2005 20:44:10;06/08/2005 21:13:10;ARNOLD HAVENS;Jon Stephens
MAIDEN HOME;30/07/2005 20:54:55;04/08/2005 0:54:55;RON DELUCA;Jon Stephens
HARPER DYING;30/07/2005 21:08:41;07/08/2005 15:55:41;GORDON ALLARD;Mike Hillyer
BEAST HUNCHBACK;30/07/2005 21:11:21;05/08/2005 19:00:21;DAISY BATES;Mike Hillyer
HOLOCAUST HIGHBALL;30/07/2005 21:18:37;05/08/2005 16:09:37;GREGORY MAULDIN;Mike Hillyer
SPIRIT FLINTSTONES;30/07/2005 21:29:41;01/08/2005 16:30:41;KAREN JACKSON;Jon Stephens
LADY STAGE;30/07/2005 21:33:01;06/08/2005 17:38:01;NINA SOTO;Mike Hillyer
EFFECT GLADIATOR;30/07/2005 21:36:04;08/08/2005 1:26:04;TERRANCE ROUSH;Mike Hillyer
GOLDFINGER SENSIBILITY;30/07/2005 21:45:46;05/08/2005 21:22:46;LINDA WILLIAMS;Mike Hillyer
DRAGONFLY STRANGERS;30/07/2005 21:48:44;08/08/2005 22:36:44;LENA JENSEN;Jon Stephens
ACADEMY DINOSAUR;30/07/2005 22:02:34;06/08/2005 2:09:34;VIRGIL WOFFORD;Mike Hillyer
INVASION CYCLONE;30/07/2005 22:23:05;31/07/2005 23:07:05;HECTOR POINDEXTER;Jon Stephens
MERMAID INSECTS;30/07/2005 22:44:36;07/08/2005 2:35:36;RHONDA KENNEDY;Jon Stephens
SPEAKEASY DATE;30/07/2005 23:05:44;05/08/2005 23:46:44;TERRI VASQUEZ;Mike Hillyer
SHEPHERD MIDSUMMER;30/07/2005 23:06:40;04/08/2005 22:52:40;SUE PETERS;Jon Stephens
HOLES BRANNIGAN;30/07/2005 23:07:22;04/08/2005 20:54:22;GINA WILLIAMSON;Mike Hillyer
CHAMBER ITALIAN;30/07/2005 23:26:05;04/08/2005 17:46:05;HERMAN DEVORE;Mike Hillyer
SNATCH SLIPPER;30/07/2005 23:32:40;08/08/2005 17:44:40;DENNIS GILMAN;Mike Hillyer
INVASION CYCLONE;30/07/2005 23:40:22;01/08/2005 22:29:22;NATHAN RUNYON;Mike Hillyer
FREAKY POCUS;30/07/2005 23:52:30;08/08/2005 5:22:30;ELIZABETH BROWN;Mike Hillyer
NATIONAL STORY;30/07/2005 23:58:36;07/08/2005 21:08:36;HEIDI LARSON;Jon Stephens
